Location_ID,latitude,longitude
LOC_1,22.143658901443,85.48526889748
LOC_2,22.1420393111809,85.4894978276088
LOC_3,22.1333115192128,85.4851789202432
LOC_4,22.1260233630333,85.4895878048456
LOC_5,22.1317819061875,85.493186894317
LOC_6,22.1346611777646,85.4984055740505
LOC_7,22.1289926118472,85.4971458927355
LOC_8,22.1251235906654,85.4979556878665
LOC_9,22.1201748426423,85.4979556878665
LOC_10,22.1172955710652,85.4917472585284
LOC_11,22.119904910932,85.4880581918203
LOC_12,22.1188251840906,85.5002950960229
LOC_13,22.1220643646148,85.4975957789194
LOC_14,22.129892384215,85.4869784649789
LOC_15,22.1262932947436,85.4900376910295
